,Tarih,Gold
0,2005-1,18.62
1,2005-2,18.0
2,2005-3,18.28
3,2005-4,19.06
4,2005-5,18.73
5,2005-6,18.95
6,2005-7,18.47
7,2005-8,19.24
8,2005-9,19.83
9,2005-10,20.48
10,2005-11,21.28
11,2005-12,22.17
12,2006-1,23.58
13,2006-2,23.76
14,2006-3,24.19
15,2006-4,26.45
16,2006-5,31.65
17,2006-6,30.66
18,2006-7,31.86
19,2006-8,30.16
20,2006-9,28.95
21,2006-10,27.91
22,2006-11,29.65
23,2006-12,29.32
24,2007-1,28.93
25,2007-2,29.61
26,2007-3,29.76
27,2007-4,29.64
28,2007-5,28.93
29,2007-6,28.04
30,2007-7,27.85
31,2007-8,28.24
32,2007-9,28.88
33,2007-10,28.81
34,2007-11,30.56
35,2007-12,30.25
36,2008-1,32.7
37,2008-2,35.32
38,2008-3,38.31
39,2008-4,38.3
40,2008-5,35.76
41,2008-6,35.8
42,2008-7,37.21
43,2008-8,32.79
44,2008-9,32.88
45,2008-10,37.84
46,2008-11,38.9
47,2008-12,40.13
48,2009-1,44.0
49,2009-2,50.18
50,2009-3,51.49
51,2009-4,46.06
52,2009-5,46.54
53,2009-6,47.39
54,2009-7,45.76
55,2009-8,45.8
56,2009-9,48.08
57,2009-10,49.45
58,2009-11,53.23
59,2009-12,54.94
60,2010-1,52.78
61,2010-2,53.55
62,2010-3,55.2
63,2010-4,55.22
64,2010-5,60.5
65,2010-6,62.43
66,2010-7,59.54
67,2010-8,59.5
68,2010-9,61.63
69,2010-10,61.56
70,2010-11,63.87
71,2010-12,68.04
72,2011-1,68.33
73,2011-2,70.51
74,2011-3,72.56
75,2011-4,72.5
76,2011-5,76.52
77,2011-6,78.87
78,2011-7,83.7
79,2011-8,100.1
80,2011-9,102.7
81,2011-10,98.2
82,2011-11,100.78
83,2011-12,98.94
84,2012-1,97.87
85,2012-2,98.57
86,2012-3,96.76
87,2012-4,94.95
88,2012-5,92.92
89,2012-6,93.78
90,2012-7,93.17
91,2012-8,94.66
92,2012-9,101.72
93,2012-10,100.94
94,2012-11,99.2
95,2012-12,96.65
96,2013-1,95.33
97,2013-2,93.3
98,2013-3,92.9
99,2013-4,87.02
100,2013-5,83.96
101,2013-6,81.32
102,2013-7,80.32
103,2013-8,85.53
104,2013-9,87.85
105,2013-10,84.03
106,2013-11,83.49
107,2013-12,81.85
108,2014-1,89.62
109,2014-2,92.3
110,2014-3,95.12
111,2014-4,89.35
112,2014-5,86.7
113,2014-6,88.1
114,2014-7,89.57
115,2014-8,90.02
116,2014-9,88.11
117,2014-10,88.11
118,2014-11,84.88
119,2014-12,88.92
120,2015-1,93.79
121,2015-2,97.32
122,2015-3,98.77
123,2015-4,102.37
124,2015-5,101.73
125,2015-6,102.15
126,2015-7,98.32
127,2015-8,103.61
128,2015-9,108.95
129,2015-10,108.67
130,2015-11,100.12
131,2015-12,100.78
132,2016-1,106.48
133,2016-2,114.18
134,2016-3,115.8
135,2016-4,113.37
136,2016-5,120.42
137,2016-6,120.18
138,2016-7,126.48
139,2016-8,127.92
140,2016-9,126.85
141,2016-10,125.51
142,2016-11,132.2
143,2016-12,130.5
144,2017-1,144.58
145,2017-2,145.68
146,2017-3,145.55
147,2017-4,150.0
148,2017-5,143.42
149,2017-6,143.01
150,2017-7,142.27
151,2017-8,145.3
152,2017-9,147.42
153,2017-10,151.76
154,2017-11,160.43
155,2017-12,158.48
156,2018-1,162.09
157,2018-2,162.66
158,2018-3,166.25
159,2018-4,174.69
160,2018-5,187.22
161,2018-6,190.51
162,2018-7,191.64
163,2018-8,233.55
164,2018-9,242.19
165,2018-10,231.22
166,2018-11,212.87
167,2018-12,216.5
168,2019-1,225.32
169,2019-2,224.94
170,2019-3,231.86
171,2019-4,239.39
172,2019-5,250.82
173,2019-6,259.5
174,2019-7,259.37
175,2019-8,267.59
176,2019-9,277.11
177,2019-10,280.1
178,2019-11,274.29
179,2019-12,279.74
180,2020-1,297.91
181,2020-2,315.32
182,2020-3,330.65
183,2020-4,372.91
184,2020-5,386.81
185,2020-6,382.84
186,2020-7,413.81
187,2020-8,471.63
188,2020-9,467.61
189,2020-10,488.86
190,2020-11,478.84
191,2020-12,462.72
192,2021-1,449.12
193,2021-2,413.65
194,2021-3,423.38
195,2021-4,464.33
196,2021-5,501.26
197,2021-6,512.01
198,2021-7,500.55
199,2021-8,489.92
200,2021-9,470.59
201,2021-10,521.44
202,2021-11,634.13
203,2021-12,817.61
204,2022-1,795.39
205,2022-2,824.04
206,2022-3,926.51
207,2022-4,921.01
208,2022-5,944.07
209,2022-6,1018.48
210,2022-7,998.91
211,2022-8,1040.39
212,2022-9,1010.29
213,2022-10,1010.47
214,2022-11,1047.7
215,2022-12,1091.54
216,2023-1,1173.95
217,2023-2,1153.58
218,2023-3,1201.91
219,2023-4,1348.78
220,2023-5,1433.73
221,2023-6,1495.28
222,2023-7,1689.14
223,2023-8,1716.91
224,2023-9,1710.53
225,2023-10,1795.05
226,2023-11,1868.94
227,2023-12,1984.48
228,2024-1,2069.67
229,2024-2,2085.58
230,2024-3,2394.82
231,2024-4,2539.01
232,2024-5,2465.24
233,2024-6,2477.29
234,2024-7,2562.67
235,2024-8,2731.34
236,2024-9,2907.12
