,Tarih,USD,EUR,GBP
0,03-01-2005,1.3363,1.8233,2.5793
1,04-01-2005,1.3383,1.8105,2.5561
2,05-01-2005,1.3427,1.7976,2.5453
3,06-01-2005,1.3775,1.8249,2.585
4,07-01-2005,1.4,1.846,2.621
5,10-01-2005,1.3723,1.8135,2.5794
6,11-01-2005,1.3822,1.8108,2.5928
7,12-01-2005,1.3737,1.8065,2.5786
8,13-01-2005,1.3732,1.7998,2.5718
9,14-01-2005,1.35,1.7866,2.5451
10,17-01-2005,1.3496,1.7692,2.5228
11,18-01-2005,1.3317,1.7452,2.4868
12,19-01-2005,1.3364,1.7431,2.492
13,20-01-2005,,,
14,21-01-2005,,,
15,24-01-2005,1.3364,1.7431,2.492
16,25-01-2005,1.3341,1.7447,2.5077
17,26-01-2005,1.327,1.7318,2.4902
18,27-01-2005,1.3267,1.7259,2.4871
19,28-01-2005,1.334,1.7416,2.5105
20,31-01-2005,1.3287,1.732,2.5029
21,01-02-2005,1.3295,1.7297,2.5029
22,02-02-2005,1.3252,1.7268,2.4924
23,03-02-2005,1.3203,1.7261,2.4893
24,04-02-2005,1.3166,1.714,2.4827
25,07-02-2005,1.3114,1.7005,2.4677
26,08-02-2005,1.3093,1.6821,2.4479
27,09-02-2005,1.323,1.6874,2.4531
28,10-02-2005,1.322,1.6896,2.4595
29,11-02-2005,1.3327,1.7052,2.477
30,14-02-2005,1.3165,1.6938,2.457
31,15-02-2005,1.3089,1.6977,2.466
32,16-02-2005,1.3051,1.695,2.4633
33,17-02-2005,1.3063,1.7017,2.4663
34,18-02-2005,1.305,1.7038,2.4644
35,21-02-2005,1.3,1.6965,2.4608
36,22-02-2005,1.3016,1.7,2.4673
37,23-02-2005,1.2927,1.7061,2.4671
38,24-02-2005,1.298,1.7149,2.4762
39,25-02-2005,1.2905,1.7102,2.4609
40,28-02-2005,1.2885,1.6985,2.4602
41,01-03-2005,1.2785,1.6949,2.4577
42,02-03-2005,1.2768,1.6861,2.4516
43,03-03-2005,1.2772,1.6758,2.4407
44,04-03-2005,1.271,1.6712,2.4276
45,07-03-2005,1.2699,1.6657,2.4208
46,08-03-2005,1.2541,1.6566,2.4011
47,09-03-2005,1.2585,1.6668,2.4164
48,10-03-2005,1.259,1.6833,2.4257
49,11-03-2005,1.2747,1.7113,2.457
50,14-03-2005,1.259,1.6894,2.4163
51,15-03-2005,1.276,1.7105,2.448
52,16-03-2005,1.2869,1.7212,2.4677
53,17-03-2005,1.3224,1.7676,2.5407
